Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00024286;0.00000000;0.71154100;0.71178457;1.00000000;100.0000
Approximate;1;2;0.00027914;0.00000000;0.36428414;0.36456371;1.00000000;100.0000
Approximate;1;4;0.00021543;0.00000000;0.17604057;0.17625671;1.00000000;100.0000
Approximate;2;1;0.00022129;0.00000000;0.35903014;0.35925157;1.00000000;100.0000
Approximate;2;2;0.00024914;0.00000000;0.17587100;0.17612057;1.00000000;100.0000
Approximate;2;4;0.00022429;0.00000000;0.08787757;0.08810243;1.00000000;100.0000
Approximate;4;1;0.00022029;0.00000000;0.17213757;0.17235800;1.00000000;100.0000
Approximate;4;2;0.00024000;0.00000000;0.08762100;0.08786157;1.00000000;100.0000
Approximate;4;4;0.00022814;0.00000000;0.04441029;0.04463857;1.00000000;100.0000
Approximate;8;1;0.00023557;0.00000000;0.08624829;0.08648429;1.00000000;100.0000
Approximate;8;2;0.00023443;0.00000000;0.04650629;0.04674071;1.00000000;100.0000
Approximate;8;4;0.00022986;0.00000000;0.01970229;0.01993229;1.00000000;100.0000
OMP+MPI;1;1;0.00023157;0.00001514;0.70132914;0.70156386;1.01456847;101.4568
OMP+MPI;1;2;0.00022386;0.00180571;0.18485200;0.18507786;1.96978569;98.4893
OMP+MPI;1;4;0.00029114;0.00365529;0.05835371;0.05864643;3.00541258;75.1353
OMP+MPI;2;1;0.00021271;0.00001800;0.19021829;0.19043300;1.88649851;94.3249
OMP+MPI;2;2;0.00025843;0.00220057;0.06025986;0.06052029;2.91010806;72.7527
OMP+MPI;2;4;0.00022900;0.00105229;0.01680614;0.01703729;5.17115402;64.6394
OMP+MPI;4;1;0.00021486;0.00002186;0.05451343;0.05473071;3.14920063;78.7300
OMP+MPI;4;2;0.00024600;0.00013600;0.02156957;0.02181743;4.02712772;50.3391
OMP+MPI;4;4;0.00026243;0.00256714;0.01066486;0.01092871;4.08452177;25.5283
OMP+MPI;8;1;0.00021771;0.00002643;0.01705429;0.01727471;5.00640904;62.5801
OMP+MPI;8;2;0.00021857;0.00063986;0.01086186;0.01108257;4.21749723;26.3594
OMP+MPI;8;4;0.00023629;0.00101514;0.00524514;0.00548300;3.63528829;11.3603
