Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00090271;0.00000000;11.18323714;11.18414057;1.00000000;100.0000
Approximate;1;2;0.00092243;0.00000000;5.55147014;5.55239286;1.00000000;100.0000
Approximate;1;4;0.00104686;0.00000000;2.82334871;2.82439571;1.00000000;100.0000
Approximate;2;1;0.00092943;0.00000000;5.49735171;5.49828143;1.00000000;100.0000
Approximate;2;2;0.00097543;0.00000000;2.75579414;2.75676971;1.00000000;100.0000
Approximate;2;4;0.00086943;0.00000000;1.39223171;1.39310486;1.00000000;100.0000
Approximate;4;1;0.00088086;0.00000000;2.74495629;2.74583743;1.00000000;100.0000
Approximate;4;2;0.00088829;0.00000000;1.39114629;1.39203500;1.00000000;100.0000
Approximate;4;4;0.00088157;0.00000000;0.70540600;0.70628800;1.00000000;100.0000
Approximate;8;1;0.00097071;0.00000000;1.40708114;1.40805200;1.00000000;100.0000
Approximate;8;2;0.00092600;0.00000000;0.69767100;0.69859714;1.00000000;100.0000
Approximate;8;4;0.00097357;0.00000000;0.34832129;0.34929514;1.00000000;100.0000
OMP+MPI;1;1;0.00085957;0.00001214;11.01376300;11.01462471;1.01539007;101.5390
OMP+MPI;1;2;0.00099243;0.00658257;3.02458814;3.02558286;1.83514817;91.7574
OMP+MPI;1;4;0.00103714;0.01434643;0.84997286;0.85101186;3.31886764;82.9717
OMP+MPI;2;1;0.00092700;0.00001629;3.04580429;3.04673314;1.80464818;90.2324
OMP+MPI;2;2;0.00102586;0.01323000;0.84737071;0.84839886;3.24937934;81.2345
OMP+MPI;2;4;0.00109643;0.01349514;0.28086343;0.28196171;4.94075893;61.7595
OMP+MPI;4;1;0.00088900;0.00001943;0.84405671;0.84494743;3.24971393;81.2428
OMP+MPI;4;2;0.00087386;0.00348800;0.28394143;0.28481714;4.88746915;61.0934
OMP+MPI;4;4;0.00104057;0.00242300;0.13151357;0.13255586;5.32822929;33.3014
OMP+MPI;8;1;0.00083629;0.00001943;0.28045971;0.28129757;5.00556046;62.5695
OMP+MPI;8;2;0.00097800;0.00170186;0.14795543;0.14893700;4.69055468;29.3160
OMP+MPI;8;4;0.00113929;0.00958714;0.07721786;0.07835871;4.45764260;13.9301
