Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00044729;0.00000000;2.78654243;2.78699014;1.00000000;100.0000
Approximate;1;2;0.00050157;0.00000000;1.39782157;1.39832329;1.00000000;100.0000
Approximate;1;4;0.00043329;0.00000000;0.69228200;0.69271586;1.00000000;100.0000
Approximate;2;1;0.00043657;0.00000000;1.38896943;1.38940629;1.00000000;100.0000
Approximate;2;2;0.00046386;0.00000000;0.69387986;0.69434386;1.00000000;100.0000
Approximate;2;4;0.00044114;0.00000000;0.35463314;0.35507500;1.00000000;100.0000
Approximate;4;1;0.00044486;0.00000000;0.70146743;0.70191229;1.00000000;100.0000
Approximate;4;2;0.00043729;0.00000000;0.35155957;0.35199714;1.00000000;100.0000
Approximate;4;4;0.00050343;0.00000000;0.17167457;0.17217843;1.00000000;100.0000
Approximate;8;1;0.00047543;0.00000000;0.35622586;0.35670157;1.00000000;100.0000
Approximate;8;2;0.00047300;0.00000000;0.17439171;0.17486471;1.00000000;100.0000
Approximate;8;4;0.00045786;0.00000000;0.08611686;0.08657514;1.00000000;100.0000
OMP+MPI;1;1;0.00043071;0.00001400;2.74002271;2.74045486;1.01698086;101.6981
OMP+MPI;1;2;0.00041929;0.00125200;0.76006800;0.76048943;1.83871496;91.9357
OMP+MPI;1;4;0.00056657;0.01113186;0.22035429;0.22092257;3.13555945;78.3890
OMP+MPI;2;1;0.00040871;0.00001729;0.77338214;0.77379300;1.79557877;89.7789
OMP+MPI;2;2;0.00048000;0.00027200;0.22091957;0.22140157;3.13612886;78.4032
OMP+MPI;2;4;0.00055086;0.00811843;0.07880757;0.07936000;4.47423135;55.9279
OMP+MPI;4;1;0.00054600;0.00001671;0.22687643;0.22742500;3.08634621;77.1587
OMP+MPI;4;2;0.00045271;0.00396043;0.08621357;0.08666814;4.06143632;50.7680
OMP+MPI;4;4;0.00044557;0.00338614;0.03338386;0.03383171;5.08926113;31.8079
OMP+MPI;8;1;0.00042229;0.00002657;0.09042657;0.09085057;3.92624467;49.0781
OMP+MPI;8;2;0.00050071;0.00057257;0.03549186;0.03599429;4.85812431;30.3633
OMP+MPI;8;4;0.00046657;0.00095800;0.01493600;0.01540443;5.62014634;17.5630
