Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00048643;0.00000000;2.31495129;2.31543771;1.00000000;100.0000
Approximate;1;2;0.00051900;0.00000000;1.16186757;1.16238671;1.00000000;100.0000
Approximate;1;4;0.00054314;0.00000000;0.58670000;0.58724314;1.00000000;100.0000
Approximate;2;1;0.00044014;0.00000000;1.14578943;1.14623014;1.00000000;100.0000
Approximate;2;2;0.00045886;0.00000000;0.58233129;0.58279043;1.00000000;100.0000
Approximate;2;4;0.00048543;0.00000000;0.29396043;0.29444586;1.00000000;100.0000
Approximate;4;1;0.00048700;0.00000000;0.57863486;0.57912214;1.00000000;100.0000
Approximate;4;2;0.00043486;0.00000000;0.29656629;0.29700143;1.00000000;100.0000
Approximate;4;4;0.00046371;0.00000000;0.14698129;0.14744500;1.00000000;100.0000
Approximate;8;1;0.00043314;0.00000000;0.29111800;0.29155143;1.00000000;100.0000
Approximate;8;2;0.00045100;0.00000000;0.14907243;0.14952343;1.00000000;100.0000
Approximate;8;4;0.00045414;0.00000000;0.07457314;0.07502743;1.00000000;100.0000
OMP+MPI;1;1;0.00041929;0.00001471;2.36658029;2.36699971;0.97821630;97.8216
OMP+MPI;1;2;0.00045571;0.00261486;0.63552343;0.63597914;1.82771200;91.3856
OMP+MPI;1;4;0.00057100;0.00172771;0.18163743;0.18220857;3.22291722;80.5729
OMP+MPI;2;1;0.00051829;0.00001614;0.64547171;0.64599043;1.77437636;88.7188
OMP+MPI;2;2;0.00045671;0.00054729;0.17781757;0.17827443;3.26906351;81.7266
OMP+MPI;2;4;0.00058914;0.00784400;0.06654471;0.06713400;4.38594240;54.8243
OMP+MPI;4;1;0.00044586;0.00001943;0.18384657;0.18429243;3.14240876;78.5602
OMP+MPI;4;2;0.00045871;0.00850029;0.07583071;0.07628943;3.89308760;48.6636
OMP+MPI;4;4;0.00045586;0.00174457;0.02652643;0.02698229;5.46451111;34.1532
OMP+MPI;8;1;0.00042471;0.00002571;0.07455400;0.07497929;3.88842633;48.6053
OMP+MPI;8;2;0.00042343;0.00032557;0.02671114;0.02713471;5.51041102;34.4401
OMP+MPI;8;4;0.00045943;0.00180257;0.01191600;0.01237543;6.06261255;18.9457
