Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00026343;0.00000000;0.57900186;0.57926543;1.00000000;100.0000
Approximate;1;2;0.00021643;0.00000000;0.29128743;0.29150400;1.00000000;100.0000
Approximate;1;4;0.00023614;0.00000000;0.14713886;0.14737514;1.00000000;100.0000
Approximate;2;1;0.00024200;0.00000000;0.29189114;0.29213329;1.00000000;100.0000
Approximate;2;2;0.00024929;0.00000000;0.14989114;0.15014057;1.00000000;100.0000
Approximate;2;4;0.00022986;0.00000000;0.07280129;0.07303114;1.00000000;100.0000
Approximate;4;1;0.00022857;0.00000000;0.14447386;0.14470271;1.00000000;100.0000
Approximate;4;2;0.00021014;0.00000000;0.07171871;0.07192900;1.00000000;100.0000
Approximate;4;4;0.00025214;0.00000000;0.04170486;0.04195700;1.00000000;100.0000
Approximate;8;1;0.00022629;0.00000000;0.07398029;0.07420671;1.00000000;100.0000
Approximate;8;2;0.00023943;0.00000000;0.03699557;0.03723543;1.00000000;100.0000
Approximate;8;4;0.00024057;0.00000000;0.01666243;0.01690300;1.00000000;100.0000
OMP+MPI;1;1;0.00022657;0.00001429;0.60953657;0.60976329;0.94998410;94.9984
OMP+MPI;1;2;0.00022286;0.00121029;0.17013443;0.17035786;1.71112742;85.5564
OMP+MPI;1;4;0.00033471;0.00086986;0.04536600;0.04570114;3.22475837;80.6190
OMP+MPI;2;1;0.00024714;0.00002671;0.15968557;0.15993286;1.82659956;91.3300
OMP+MPI;2;2;0.00021371;0.00241900;0.04787200;0.04808586;3.12234367;78.0586
OMP+MPI;2;4;0.00026171;0.00261614;0.01571900;0.01598071;4.56995486;57.1244
OMP+MPI;4;1;0.00021986;0.00003914;0.04565114;0.04587100;3.15455766;78.8639
OMP+MPI;4;2;0.00023071;0.00053357;0.01649400;0.01672471;4.30076106;53.7595
OMP+MPI;4;4;0.00026700;0.00174171;0.00809214;0.00835943;5.01912297;31.3695
OMP+MPI;8;1;0.00023414;0.00001957;0.01385371;0.01408786;5.26742382;65.8428
OMP+MPI;8;2;0.00022114;0.00014800;0.00750343;0.00772457;4.82038763;30.1274
OMP+MPI;8;4;0.00025871;0.00029543;0.00447071;0.00472957;3.57389676;11.1684
