Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00084943;0.00000000;9.25390543;9.25475514;1.00000000;100.0000
Approximate;1;2;0.00099686;0.00000000;4.58611414;4.58711100;1.00000000;100.0000
Approximate;1;4;0.00092500;0.00000000;2.33192443;2.33285000;1.00000000;100.0000
Approximate;2;1;0.00088729;0.00000000;4.55759871;4.55848629;1.00000000;100.0000
Approximate;2;2;0.00098329;0.00000000;2.32804943;2.32903271;1.00000000;100.0000
Approximate;2;4;0.00093014;0.00000000;1.17033929;1.17126971;1.00000000;100.0000
Approximate;4;1;0.00088414;0.00000000;2.31267386;2.31355829;1.00000000;100.0000
Approximate;4;2;0.00085443;0.00000000;1.17493357;1.17578800;1.00000000;100.0000
Approximate;4;4;0.00093814;0.00000000;0.58289929;0.58383743;1.00000000;100.0000
Approximate;8;1;0.00094314;0.00000000;1.15418029;1.15512357;1.00000000;100.0000
Approximate;8;2;0.00086843;0.00000000;0.58363800;0.58450671;1.00000000;100.0000
Approximate;8;4;0.00089743;0.00000000;0.29164071;0.29253829;1.00000000;100.0000
OMP+MPI;1;1;0.00090214;0.00001443;9.53036643;9.53126871;0.97098880;97.0989
OMP+MPI;1;2;0.00089114;0.00847714;2.58231043;2.58320171;1.77574634;88.7873
OMP+MPI;1;4;0.00108386;0.00788971;0.68603743;0.68712143;3.39510588;84.8776
OMP+MPI;2;1;0.00088971;0.00001786;2.59852529;2.59941557;1.75365814;87.6829
OMP+MPI;2;2;0.00085943;0.00260100;0.70888814;0.70974757;3.28149445;82.0374
OMP+MPI;2;4;0.00120243;0.00916429;0.22527657;0.22647900;5.17164821;64.6456
OMP+MPI;4;1;0.00083757;0.00002557;0.72031671;0.72115714;3.20811949;80.2030
OMP+MPI;4;2;0.00098814;0.00268357;0.22998471;0.23097286;5.09058949;63.6324
OMP+MPI;4;4;0.00109571;0.01219443;0.11581714;0.11691300;4.99377681;31.2111
OMP+MPI;8;1;0.00084314;0.00001571;0.24355700;0.24440029;4.72635933;59.0795
OMP+MPI;8;2;0.00087029;0.00275957;0.11812229;0.11899329;4.91209828;30.7006
OMP+MPI;8;4;0.00124414;0.01509443;0.07203657;0.07328114;3.99199950;12.4750
