Sequential;0;0;34979
Approximate;1;1;34979
OMP+MPI;1;1;34979
Approximate;1;2;35000
OMP+MPI;1;2;35000
Approximate;1;4;35032
OMP+MPI;1;4;35032
Approximate;2;1;35000
OMP+MPI;2;1;35000
Approximate;2;2;35032
OMP+MPI;2;2;35032
Approximate;2;4;35066
OMP+MPI;2;4;35066
Approximate;4;1;35032
OMP+MPI;4;1;35032
Approximate;4;2;35066
OMP+MPI;4;2;35066
Approximate;4;4;35127
OMP+MPI;4;4;35127
Approximate;8;1;35066
OMP+MPI;8;1;35066
Approximate;8;2;35127
OMP+MPI;8;2;35127
Approximate;8;4;35214
OMP+MPI;8;4;35214
Approximate;1;1;34979
OMP+MPI;1;1;34979
Approximate;1;2;35000
OMP+MPI;1;2;35000
Approximate;1;4;35032
OMP+MPI;1;4;35032
Approximate;2;1;35000
OMP+MPI;2;1;35000
Approximate;2;2;35032
OMP+MPI;2;2;35032
Approximate;2;4;35066
OMP+MPI;2;4;35066
Approximate;4;1;35032
OMP+MPI;4;1;35032
Approximate;4;2;35066
OMP+MPI;4;2;35066
Approximate;4;4;35127
OMP+MPI;4;4;35127
Approximate;8;1;35066
OMP+MPI;8;1;35066
Approximate;8;2;35127
OMP+MPI;8;2;35127
Approximate;8;4;35214
OMP+MPI;8;4;35214
Approximate;1;1;34979
OMP+MPI;1;1;34979
Approximate;1;2;35000
OMP+MPI;1;2;35000
Approximate;1;4;35032
OMP+MPI;1;4;35032
Approximate;2;1;35000
OMP+MPI;2;1;35000
Approximate;2;2;35032
OMP+MPI;2;2;35032
Approximate;2;4;35066
OMP+MPI;2;4;35066
Approximate;4;1;35032
OMP+MPI;4;1;35032
Approximate;4;2;35066
OMP+MPI;4;2;35066
Approximate;4;4;35127
OMP+MPI;4;4;35127
Approximate;8;1;35066
OMP+MPI;8;1;35066
Approximate;8;2;35127
OMP+MPI;8;2;35127
Approximate;8;4;35214
OMP+MPI;8;4;35214
Approximate;1;1;34979
OMP+MPI;1;1;34979
Approximate;1;2;35000
OMP+MPI;1;2;35000
Approximate;1;4;35032
OMP+MPI;1;4;35032
Approximate;2;1;35000
OMP+MPI;2;1;35000
Approximate;2;2;35032
OMP+MPI;2;2;35032
Approximate;2;4;35066
OMP+MPI;2;4;35066
Approximate;4;1;35032
OMP+MPI;4;1;35032
Approximate;4;2;35066
OMP+MPI;4;2;35066
Approximate;4;4;35127
OMP+MPI;4;4;35127
Approximate;8;1;35066
OMP+MPI;8;1;35066
Approximate;8;2;35127
OMP+MPI;8;2;35127
Approximate;8;4;35214
OMP+MPI;8;4;35214
Approximate;1;1;34979
OMP+MPI;1;1;34979
Approximate;1;2;35000
OMP+MPI;1;2;35000
Approximate;1;4;35032
OMP+MPI;1;4;35032
Approximate;2;1;35000
OMP+MPI;2;1;35000
Approximate;2;2;35032
OMP+MPI;2;2;35032
Approximate;2;4;35066
OMP+MPI;2;4;35066
Approximate;4;1;35032
OMP+MPI;4;1;35032
Approximate;4;2;35066
OMP+MPI;4;2;35066
Approximate;4;4;35127
OMP+MPI;4;4;35127
Approximate;8;1;35066
OMP+MPI;8;1;35066
Approximate;8;2;35127
OMP+MPI;8;2;35127
Approximate;8;4;35214
OMP+MPI;8;4;35214
Approximate;1;1;34979
OMP+MPI;1;1;34979
Approximate;1;2;35000
OMP+MPI;1;2;35000
Approximate;1;4;35032
OMP+MPI;1;4;35032
Approximate;2;1;35000
OMP+MPI;2;1;35000
Approximate;2;2;35032
OMP+MPI;2;2;35032
Approximate;2;4;35066
OMP+MPI;2;4;35066
Approximate;4;1;35032
OMP+MPI;4;1;35032
Approximate;4;2;35066
OMP+MPI;4;2;35066
Approximate;4;4;35127
OMP+MPI;4;4;35127
Approximate;8;1;35066
OMP+MPI;8;1;35066
Approximate;8;2;35127
OMP+MPI;8;2;35127
Approximate;8;4;35214
OMP+MPI;8;4;35214
Approximate;1;1;34979
OMP+MPI;1;1;34979
Approximate;1;2;35000
OMP+MPI;1;2;35000
Approximate;1;4;35032
OMP+MPI;1;4;35032
Approximate;2;1;35000
OMP+MPI;2;1;35000
Approximate;2;2;35032
OMP+MPI;2;2;35032
Approximate;2;4;35066
OMP+MPI;2;4;35066
Approximate;4;1;35032
OMP+MPI;4;1;35032
Approximate;4;2;35066
OMP+MPI;4;2;35066
Approximate;4;4;35127
OMP+MPI;4;4;35127
Approximate;8;1;35066
OMP+MPI;8;1;35066
Approximate;8;2;35127
OMP+MPI;8;2;35127
Approximate;8;4;35214
OMP+MPI;8;4;35214
