Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00091257;2.78017729;2.78113186;1.00000000;100.0000
Approximate;2;1024;0.00087071;1.38573757;1.38664843;1.00000000;100.0000
Approximate;4;1024;0.00091300;0.69946343;0.70042586;1.00000000;100.0000
Approximate;8;1024;0.00086429;0.36036014;0.36126457;1.00000000;100.0000
OMP+CUDA;1;1024;0.00100000;0.03949171;2.48085714;1.12103668;112.1037
OMP+CUDA;2;1024;0.00100000;0.03879929;0.73857143;1.87747369;93.8737
OMP+CUDA;4;1024;0.00100000;0.03815014;0.28642857;2.44537706;61.1344
OMP+CUDA;8;1024;0.00100000;0.03884986;0.17657143;2.04599676;25.5750
OMP+CUDA_L1;1;1024;0.00100000;0.03879957;2.46800000;1.12687677;112.6877
OMP+CUDA_L1;2;1024;0.00100000;0.03874529;0.73628571;1.88330210;94.1651
OMP+CUDA_L1;4;1024;0.00100000;0.03877243;0.27400000;2.55629875;63.9075
OMP+CUDA_L1;8;1024;0.00114286;0.03993971;0.16014286;2.25588938;28.1986
