Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00023357;0.17959714;0.17984386;1.00000000;100.0000
Approximate;2;1024;0.00021129;0.08890086;0.08912400;1.00000000;100.0000
Approximate;4;1024;0.00025914;0.04339529;0.04367129;1.00000000;100.0000
Approximate;8;1024;0.00023971;0.02459343;0.02484671;1.00000000;100.0000
OMP+CUDA;1;1024;0.00000000;0.00454671;0.25357143;0.70924338;70.9243
OMP+CUDA;2;1024;0.00000000;0.00438943;0.14742857;0.60452326;30.2262
OMP+CUDA;4;1024;0.00000000;0.00440486;0.11600000;0.37647660;9.4119
OMP+CUDA;8;1024;0.00000000;0.00438771;0.11714286;0.21210610;2.6513
OMP+CUDA_L1;1;1024;0.00000000;0.00427086;0.26214286;0.68605286;68.6053
OMP+CUDA_L1;2;1024;0.00000000;0.00430371;0.14585714;0.61103624;30.5518
OMP+CUDA_L1;4;1024;0.00000000;0.00429100;0.11700000;0.37325885;9.3315
OMP+CUDA_L1;8;1024;0.00000000;0.00432200;0.11371429;0.21850126;2.7313
