Sequential;0;0;8758
Approximate;1;1024;9169
OMP+CUDA;1;1024;9169
OMP+CUDA_L1;1;1024;9169
Approximate;2;1024;9182
OMP+CUDA;2;1024;9182
OMP+CUDA_L1;2;1024;9182
Approximate;4;1024;9197
OMP+CUDA;4;1024;9197
OMP+CUDA_L1;4;1024;9197
Approximate;8;1024;9208
OMP+CUDA;8;1024;9208
OMP+CUDA_L1;8;1024;9208
Approximate;1;1024;9169
OMP+CUDA;1;1024;9169
OMP+CUDA_L1;1;1024;9169
Approximate;2;1024;9182
OMP+CUDA;2;1024;9182
OMP+CUDA_L1;2;1024;9182
Approximate;4;1024;9197
OMP+CUDA;4;1024;9197
OMP+CUDA_L1;4;1024;9197
Approximate;8;1024;9208
OMP+CUDA;8;1024;9208
OMP+CUDA_L1;8;1024;9208
Approximate;1;1024;9169
OMP+CUDA;1;1024;9169
OMP+CUDA_L1;1;1024;9169
Approximate;2;1024;9182
OMP+CUDA;2;1024;9182
OMP+CUDA_L1;2;1024;9182
Approximate;4;1024;9197
OMP+CUDA;4;1024;9197
OMP+CUDA_L1;4;1024;9197
Approximate;8;1024;9208
OMP+CUDA;8;1024;9208
OMP+CUDA_L1;8;1024;9208
Approximate;1;1024;9169
OMP+CUDA;1;1024;9169
OMP+CUDA_L1;1;1024;9169
Approximate;2;1024;9182
OMP+CUDA;2;1024;9182
OMP+CUDA_L1;2;1024;9182
Approximate;4;1024;9197
OMP+CUDA;4;1024;9197
OMP+CUDA_L1;4;1024;9197
Approximate;8;1024;9208
OMP+CUDA;8;1024;9208
OMP+CUDA_L1;8;1024;9208
Approximate;1;1024;9169
OMP+CUDA;1;1024;9169
OMP+CUDA_L1;1;1024;9169
Approximate;2;1024;9182
OMP+CUDA;2;1024;9182
OMP+CUDA_L1;2;1024;9182
Approximate;4;1024;9197
OMP+CUDA;4;1024;9197
OMP+CUDA_L1;4;1024;9197
Approximate;8;1024;9208
OMP+CUDA;8;1024;9208
OMP+CUDA_L1;8;1024;9208
Approximate;1;1024;9169
OMP+CUDA;1;1024;9169
OMP+CUDA_L1;1;1024;9169
Approximate;2;1024;9182
OMP+CUDA;2;1024;9182
OMP+CUDA_L1;2;1024;9182
Approximate;4;1024;9197
OMP+CUDA;4;1024;9197
OMP+CUDA_L1;4;1024;9197
Approximate;8;1024;9208
OMP+CUDA;8;1024;9208
OMP+CUDA_L1;8;1024;9208
Approximate;1;1024;9169
OMP+CUDA;1;1024;9169
OMP+CUDA_L1;1;1024;9169
Approximate;2;1024;9182
OMP+CUDA;2;1024;9182
OMP+CUDA_L1;2;1024;9182
Approximate;4;1024;9197
OMP+CUDA;4;1024;9197
OMP+CUDA_L1;4;1024;9197
Approximate;8;1024;9208
OMP+CUDA;8;1024;9208
OMP+CUDA_L1;8;1024;9208
