Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00060971;1.03452571;1.03515743;1.00000000;100.0000
Approximate;2;1024;0.00053314;0.51124614;0.51179843;1.00000000;100.0000
Approximate;4;1024;0.00054357;0.25553886;0.25610529;1.00000000;100.0000
Approximate;8;1024;0.00053443;0.13189671;0.13245300;1.00000000;100.0000
OMP+CUDA;1;1024;0.00014286;0.00871157;1.25142857;0.82718059;82.7181
OMP+CUDA;2;1024;0.00042857;0.00816029;0.42957143;1.19141636;59.5708
OMP+CUDA;4;1024;0.00000000;0.00847271;0.20071429;1.27596940;31.8992
OMP+CUDA;8;1024;0.00014286;0.00844186;0.14757143;0.89755179;11.2194
OMP+CUDA_L1;1;1024;0.00000000;0.00847171;1.23114286;0.84081016;84.0810
OMP+CUDA_L1;2;1024;0.00000000;0.00868386;0.41157143;1.24352274;62.1761
OMP+CUDA_L1;4;1024;0.00000000;0.00875471;0.19671429;1.30191503;32.5479
OMP+CUDA_L1;8;1024;0.00000000;0.00862400;0.13385714;0.98951014;12.3689
