Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00028671;0.25414014;0.25444086;1.00000000;100.0000
Approximate;2;1024;0.00028386;0.12876571;0.12906443;1.00000000;100.0000
Approximate;4;1024;0.00026529;0.06570043;0.06597957;1.00000000;100.0000
Approximate;8;1024;0.00027043;0.03354057;0.03382500;1.00000000;100.0000
OMP+CUDA;1;1024;0.00000000;0.00429714;0.40100000;0.63451585;63.4516
OMP+CUDA;2;1024;0.00000000;0.00440943;0.18314286;0.70471997;35.2360
OMP+CUDA;4;1024;0.00000000;0.00439271;0.13014286;0.50697805;12.6745
OMP+CUDA;8;1024;0.00000000;0.00439414;0.12000000;0.28187500;3.5234
OMP+CUDA_L1;1;1024;0.00000000;0.00434929;0.39185714;0.64932045;64.9320
OMP+CUDA_L1;2;1024;0.00000000;0.00428000;0.18600000;0.69389478;34.6947
OMP+CUDA_L1;4;1024;0.00000000;0.00431157;0.13042857;0.50586747;12.6467
OMP+CUDA_L1;8;1024;0.00000000;0.00433457;0.11428571;0.29596875;3.6996
