Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00107857;4.09047671;4.09161500;1.00000000;100.0000
Approximate;2;1024;0.00111914;2.07013971;2.07131243;1.00000000;100.0000
Approximate;4;1024;0.00104114;1.04984886;1.05093071;1.00000000;100.0000
Approximate;8;1024;0.00106186;0.52377329;0.52487657;1.00000000;100.0000
OMP+CUDA;1;1024;0.00114286;0.03959600;4.68871429;0.87265181;87.2652
OMP+CUDA;2;1024;0.00100000;0.03938157;1.36028571;1.52270395;76.1352
OMP+CUDA;4;1024;0.00114286;0.03911157;0.46885714;2.24147319;56.0368
OMP+CUDA;8;1024;0.00100000;0.03871500;0.25057143;2.09471836;26.1840
OMP+CUDA_L1;1;1024;0.00100000;0.03953529;4.65857143;0.87829822;87.8298
OMP+CUDA_L1;2;1024;0.00100000;0.03766657;1.35600000;1.52751654;76.3758
OMP+CUDA_L1;4;1024;0.00100000;0.03933443;0.46442857;2.26284682;56.5712
OMP+CUDA_L1;8;1024;0.00100000;0.03917386;0.20871429;2.51480903;31.4351
