Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00043771;0.58271371;0.58317829;1.00000000;100.0000
Approximate;2;1024;0.00044514;0.29156757;0.29203586;1.00000000;100.0000
Approximate;4;1024;0.00074529;0.15111100;0.15188300;1.00000000;100.0000
Approximate;8;1024;0.00044643;0.07387286;0.07434400;1.00000000;100.0000
OMP+CUDA;1;1024;0.00000000;0.00849086;0.70571429;0.82636599;82.6366
OMP+CUDA;2;1024;0.00000000;0.00873829;0.26371429;1.10739491;55.3697
OMP+CUDA;4;1024;0.00000000;0.00848143;0.15457143;0.98260721;24.5652
OMP+CUDA;8;1024;0.00000000;0.00852543;0.12142857;0.61224471;7.6531
OMP+CUDA_L1;1;1024;0.00000000;0.00854157;0.69828571;0.83515712;83.5157
OMP+CUDA_L1;2;1024;0.00000000;0.00860457;0.25757143;1.13380532;56.6903
OMP+CUDA_L1;4;1024;0.00000000;0.00857857;0.14685714;1.03422276;25.8556
OMP+CUDA_L1;8;1024;0.00000000;0.00842157;0.11900000;0.62473950;7.8092
