Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00090414;2.30499200;2.30594457;1.00000000;100.0000
Approximate;2;1024;0.00089786;1.15569886;1.15664029;1.00000000;100.0000
Approximate;4;1024;0.00088429;0.59489143;0.59583757;1.00000000;100.0000
Approximate;8;1024;0.00090714;0.30053500;0.30148571;1.00000000;100.0000
OMP+CUDA;1;1024;0.00100000;0.03947400;2.51242857;0.91781498;91.7815
OMP+CUDA;2;1024;0.00100000;0.03934243;0.73685714;1.56969407;78.4847
OMP+CUDA;4;1024;0.00114286;0.03900114;0.28500000;2.09065815;52.2665
OMP+CUDA;8;1024;0.00100000;0.03999143;0.19428571;1.55176471;19.3971
OMP+CUDA_L1;1;1024;0.00100000;0.03883186;2.47442857;0.93190994;93.1910
OMP+CUDA_L1;2;1024;0.00100000;0.03863857;0.74528571;1.55194211;77.5971
OMP+CUDA_L1;4;1024;0.00100000;0.03818200;0.27671429;2.15325916;53.8315
OMP+CUDA_L1;8;1024;0.00100000;0.03935314;0.16671429;1.80839760;22.6050
