Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00032186;0.00000000;1.04351986;1.04384186;1.00000000;100.0000
Approximate;1;2;0.00029800;0.00000000;0.52032700;0.52062543;1.00000000;100.0000
Approximate;1;4;0.00038829;0.00000000;0.26126057;0.26164957;1.00000000;100.0000
Approximate;2;1;0.00029157;0.00000000;0.52425171;0.52454371;1.00000000;100.0000
Approximate;2;2;0.00028786;0.00000000;0.25922343;0.25951143;1.00000000;100.0000
Approximate;2;4;0.00028014;0.00000000;0.12869871;0.12897900;1.00000000;100.0000
Approximate;4;1;0.00028286;0.00000000;0.25176357;0.25204700;1.00000000;100.0000
Approximate;4;2;0.00028329;0.00000000;0.13230843;0.13259214;1.00000000;100.0000
Approximate;4;4;0.00027457;0.00000000;0.06312629;0.06340086;1.00000000;100.0000
Approximate;8;1;0.00027229;0.00000000;0.12985671;0.13012914;1.00000000;100.0000
Approximate;8;2;0.00030829;0.00000000;0.06474700;0.06505571;1.00000000;100.0000
Approximate;8;4;0.00029829;0.00000000;0.03177357;0.03207229;1.00000000;100.0000
OMP+MPI;1;1;0.00028743;0.00001114;1.04291643;1.04320400;1.00061144;100.0611
OMP+MPI;1;2;0.00028843;0.00232586;0.28348286;0.28377143;1.83466472;91.7332
OMP+MPI;1;4;0.00031829;0.00322386;0.08460143;0.08491986;3.08113532;77.0284
OMP+MPI;2;1;0.00026786;0.00001971;0.27988443;0.28015257;1.87235017;93.6175
OMP+MPI;2;2;0.00027543;0.00105443;0.08487700;0.08515286;3.04759508;76.1899
OMP+MPI;2;4;0.00032814;0.00598029;0.03072843;0.03105671;4.15301499;51.9127
OMP+MPI;4;1;0.00031871;0.00001900;0.09237414;0.09269286;2.71916313;67.9791
OMP+MPI;4;2;0.00025914;0.00033429;0.02794457;0.02820371;4.70122983;58.7654
OMP+MPI;4;4;0.00030857;0.00253614;0.01511371;0.01542229;4.11098966;25.6937
OMP+MPI;8;1;0.00027257;0.00002743;0.02543700;0.02570957;5.06150572;63.2688
OMP+MPI;8;2;0.00027800;0.00073843;0.01659714;0.01687514;3.85512080;24.0945
OMP+MPI;8;4;0.00030543;0.00061443;0.00772414;0.00802971;3.99420011;12.4819
