Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00109957;0.00000000;16.37222986;16.37332971;1.00000000;100.0000
Approximate;1;2;0.00112800;0.00000000;8.28118014;8.28230843;1.00000000;100.0000
Approximate;1;4;0.00135057;0.00000000;4.12007157;4.12142229;1.00000000;100.0000
Approximate;2;1;0.00103943;0.00000000;8.24130800;8.24234800;1.00000000;100.0000
Approximate;2;2;0.00117657;0.00000000;4.12628671;4.12746343;1.00000000;100.0000
Approximate;2;4;0.00115514;0.00000000;2.05595529;2.05711057;1.00000000;100.0000
Approximate;4;1;0.00106857;0.00000000;4.09826814;4.09933714;1.00000000;100.0000
Approximate;4;2;0.00108771;0.00000000;2.04187543;2.04296343;1.00000000;100.0000
Approximate;4;4;0.00109957;0.00000000;1.03384229;1.03494200;1.00000000;100.0000
Approximate;8;1;0.00110171;0.00000000;2.06563871;2.06674086;1.00000000;100.0000
Approximate;8;2;0.00104843;0.00000000;1.03706071;1.03810914;1.00000000;100.0000
Approximate;8;4;0.00110129;0.00000000;0.51927414;0.52037557;1.00000000;100.0000
OMP+MPI;1;1;0.00105057;0.00001229;16.47738800;16.47843900;0.99362141;99.3621
OMP+MPI;1;2;0.00119829;0.00910743;4.54065771;4.54185629;1.82355141;91.1776
OMP+MPI;1;4;0.00136271;0.02428314;1.26984314;1.27120614;3.24213528;81.0534
OMP+MPI;2;1;0.00105029;0.00002071;4.51964243;4.52069286;1.82324884;91.1624
OMP+MPI;2;2;0.00122986;0.01666629;1.27533971;1.27657000;3.23324489;80.8311
OMP+MPI;2;4;0.00133757;0.00667657;0.39443414;0.39577171;5.19772004;64.9715
OMP+MPI;4;1;0.00104214;0.00001529;1.29128129;1.29232357;3.17206715;79.3017
OMP+MPI;4;2;0.00119414;0.00278914;0.40741371;0.40860814;4.99981086;62.4976
OMP+MPI;4;4;0.00133686;0.01252000;0.21113486;0.21247171;4.87096366;30.4435
OMP+MPI;8;1;0.00116543;0.00002214;0.41014657;0.41131271;5.02474343;62.8093
OMP+MPI;8;2;0.00117671;0.00280786;0.21489043;0.21606771;4.80455466;30.0285
OMP+MPI;8;4;0.00118986;0.01164871;0.10851100;0.10970100;4.74358093;14.8237
