Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00026029;0.00000000;0.62356371;0.62382443;1.00000000;100.0000
Approximate;1;2;0.00024443;0.00000000;0.31988214;0.32012657;1.00000000;100.0000
Approximate;1;4;0.00022600;0.00000000;0.15474900;0.15497500;1.00000000;100.0000
Approximate;2;1;0.00024443;0.00000000;0.31466629;0.31491071;1.00000000;100.0000
Approximate;2;2;0.00026986;0.00000000;0.15336371;0.15363357;1.00000000;100.0000
Approximate;2;4;0.00022000;0.00000000;0.07742457;0.07764457;1.00000000;100.0000
Approximate;4;1;0.00025686;0.00000000;0.15318529;0.15344243;1.00000000;100.0000
Approximate;4;2;0.00024786;0.00000000;0.07863943;0.07888743;1.00000000;100.0000
Approximate;4;4;0.00023943;0.00000000;0.03940329;0.03964314;1.00000000;100.0000
Approximate;8;1;0.00023571;0.00000000;0.07818471;0.07842043;1.00000000;100.0000
Approximate;8;2;0.00025643;0.00000000;0.04024671;0.04050314;1.00000000;100.0000
Approximate;8;4;0.00024786;0.00000000;0.01757200;0.01782000;1.00000000;100.0000
OMP+MPI;1;1;0.00021329;0.00001586;0.63076143;0.63097486;0.98866765;98.8668
OMP+MPI;1;2;0.00024429;0.00077943;0.16880057;0.16904500;1.89373582;94.6868
OMP+MPI;1;4;0.00028986;0.00346686;0.05098600;0.05127586;3.02237756;75.5594
OMP+MPI;2;1;0.00026800;0.00001429;0.16798100;0.16824914;1.87169283;93.5846
OMP+MPI;2;2;0.00025500;0.00221529;0.05560114;0.05585643;2.75050832;68.7627
OMP+MPI;2;4;0.00022600;0.00379243;0.01859371;0.01881971;4.12570405;51.5713
OMP+MPI;4;1;0.00022743;0.00002043;0.04574357;0.04597129;3.33778850;83.4447
OMP+MPI;4;2;0.00022800;0.00156314;0.01726129;0.01748943;4.51057782;56.3822
OMP+MPI;4;4;0.00025514;0.00126671;0.00948700;0.00974457;4.06822846;25.4264
OMP+MPI;8;1;0.00023071;0.00003186;0.01793586;0.01816686;4.31667558;53.9584
OMP+MPI;8;2;0.00022271;0.00051414;0.00939957;0.00962257;4.20918080;26.3074
OMP+MPI;8;4;0.00023457;0.00122586;0.00490671;0.00514171;3.46577017;10.8305
