Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00048814;0.00000000;2.51579857;2.51628686;1.00000000;100.0000
Approximate;1;2;0.00051886;0.00000000;1.25912500;1.25964386;1.00000000;100.0000
Approximate;1;4;0.00053514;0.00000000;0.62161314;0.62214871;1.00000000;100.0000
Approximate;2;1;0.00049086;0.00000000;1.24840843;1.24889957;1.00000000;100.0000
Approximate;2;2;0.00047600;0.00000000;0.63256400;0.63304000;1.00000000;100.0000
Approximate;2;4;0.00050500;0.00000000;0.31705314;0.31755843;1.00000000;100.0000
Approximate;4;1;0.00043757;0.00000000;0.62413686;0.62457443;1.00000000;100.0000
Approximate;4;2;0.00044243;0.00000000;0.30965971;0.31010214;1.00000000;100.0000
Approximate;4;4;0.00045943;0.00000000;0.15786886;0.15832843;1.00000000;100.0000
Approximate;8;1;0.00048043;0.00000000;0.32211457;0.32259514;1.00000000;100.0000
Approximate;8;2;0.00047643;0.00000000;0.15447514;0.15495157;1.00000000;100.0000
Approximate;8;4;0.00043400;0.00000000;0.07758743;0.07802157;1.00000000;100.0000
OMP+MPI;1;1;0.00044957;0.00001114;2.49574529;2.49619486;1.00804905;100.8049
OMP+MPI;1;2;0.00043000;0.00192043;0.68063643;0.68106657;1.84951649;92.4758
OMP+MPI;1;4;0.00059043;0.01198057;0.19583929;0.19642971;3.16728412;79.1821
OMP+MPI;2;1;0.00042000;0.00001986;0.67775400;0.67817400;1.84156215;92.0781
OMP+MPI;2;2;0.00044857;0.00355114;0.20257014;0.20301871;3.11813619;77.9534
OMP+MPI;2;4;0.00058371;0.00537129;0.07185457;0.07243857;4.38383063;54.7979
OMP+MPI;4;1;0.00045729;0.00001557;0.20637557;0.20683300;3.01970396;75.4926
OMP+MPI;4;2;0.00050143;0.00469871;0.08067557;0.08117700;3.82007395;47.7509
OMP+MPI;4;4;0.00046771;0.00268557;0.02935900;0.02982671;5.30827590;33.1767
OMP+MPI;8;1;0.00043343;0.00002257;0.07550214;0.07593600;4.24825041;53.1031
OMP+MPI;8;2;0.00047071;0.00070743;0.03461400;0.03508486;4.41648004;27.6030
OMP+MPI;8;4;0.00048543;0.00109457;0.01363714;0.01412271;5.52454506;17.2642
