Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00088971;0.00000000;10.00369571;10.00458557;1.00000000;100.0000
Approximate;1;2;0.00096329;0.00000000;4.96913957;4.97010286;1.00000000;100.0000
Approximate;1;4;0.00118343;0.00000000;2.47851286;2.47969671;1.00000000;100.0000
Approximate;2;1;0.00091843;0.00000000;4.92314886;4.92406743;1.00000000;100.0000
Approximate;2;2;0.00085543;0.00000000;2.48664486;2.48750043;1.00000000;100.0000
Approximate;2;4;0.00106343;0.00000000;1.27221300;1.27327643;1.00000000;100.0000
Approximate;4;1;0.00087343;0.00000000;2.50954243;2.51041600;1.00000000;100.0000
Approximate;4;2;0.00090471;0.00000000;1.24834171;1.24924643;1.00000000;100.0000
Approximate;4;4;0.00087571;0.00000000;0.62507314;0.62594900;1.00000000;100.0000
Approximate;8;1;0.00084857;0.00000000;1.24787614;1.24872500;1.00000000;100.0000
Approximate;8;2;0.00086686;0.00000000;0.63318443;0.63405129;1.00000000;100.0000
Approximate;8;4;0.00086843;0.00000000;0.31045457;0.31132314;1.00000000;100.0000
OMP+MPI;1;1;0.00085671;0.00001471;9.97317271;9.97402943;1.00306357;100.3064
OMP+MPI;1;2;0.00094500;0.00162714;2.73127700;2.73222214;1.81906983;90.9535
OMP+MPI;1;4;0.00113371;0.02476129;0.76471329;0.76584714;3.23784810;80.9462
OMP+MPI;2;1;0.00087014;0.00002800;2.78837743;2.78924757;1.76537482;88.2687
OMP+MPI;2;2;0.00087029;0.01873314;0.76179800;0.76266843;3.26157519;81.5394
OMP+MPI;2;4;0.00109200;0.00636771;0.24734286;0.24843500;5.12518940;64.0649
OMP+MPI;4;1;0.00087386;0.00003529;0.78558371;0.78645771;3.19205465;79.8014
OMP+MPI;4;2;0.00094443;0.00651371;0.26517700;0.26612171;4.69426718;58.6783
OMP+MPI;4;4;0.00118514;0.01419500;0.13270657;0.13389186;4.67503412;29.2190
OMP+MPI;8;1;0.00090829;0.00001986;0.27048543;0.27139386;4.60115425;57.5144
OMP+MPI;8;2;0.00089329;0.00349771;0.13737143;0.13826471;4.58577801;28.6611
OMP+MPI;8;4;0.00116914;0.01379843;0.06739086;0.06856029;4.54086706;14.1902
